Accession,description,Group,concentration,Method,Alternative,P value,Log2FC
11224,P46109,Crk-like protein [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.002341184,-0.891528488
11225,P46109,Crk-like protein [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.77E-05,-0.598698852
11226,P46109,Crk-like protein [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.003006155,-0.521335249
11227,P46109,Crk-like protein [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000142697,1.281828338
11228,P46109,Crk-like protein [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.068652493,0.348241395
11229,P46109,Crk-like protein [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.082786501,-0.16910123
11230,P46109,Crk-like protein [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.725181202,-0.033451026
11231,P46109,Crk-like protein [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.005474204,1.83309505
11232,P46109,Crk-like protein [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.015413903,-0.451450161
11233,P46109,Crk-like protein [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.038210722,-0.462932334
11234,P46109,Crk-like protein [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.760769912,-0.061864434
11235,P46109,Crk-like protein [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.584705279,0.030327112
11236,P46109,Crk-like protein [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.011550827,1.712538177
11237,P46109,Crk-like protein [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.456732717,-0.065877325
11238,Q8WUA8,Tsukushi [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.160167593,-0.172365305
11239,Q8WUA8,Tsukushi [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.016732598,-0.637530547
11240,Q8WUA8,Tsukushi [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.046848469,0.27305385
11241,Q8WUA8,Tsukushi [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000443597,0.745180485
11242,Q8WUA8,Tsukushi [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.001336716,1.055131496
11243,Q8WUA8,Tsukushi [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.060659076,2.09025453
11244,Q8WUA8,Tsukushi [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.000905087,0.788751413
11245,Q8WUA8,Tsukushi [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.021317834,0.306176362
11246,Q8WUA8,Tsukushi [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.059997387,-0.279677322
11247,Q8WUA8,Tsukushi [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.016043928,0.406591863
11248,Q8WUA8,Tsukushi [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.376411692,-0.12974194
11249,Q8WUA8,Tsukushi [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.159114671,0.700702283
11250,Q8WUA8,Tsukushi [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.00673308,0.429277572
11251,Q8WUA8,Tsukushi [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.674571738,0.048228194
11252,Q8WUA8,Tsukushi [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.004540432,-0.641751425
11253,Q8WUA8,Tsukushi [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.003398175,-0.743526586
11254,Q8WUA8,Tsukushi [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.065369216,0.210823902
11255,Q8WUA8,Tsukushi [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.001216977,0.606127595
11256,Q8WUA8,Tsukushi [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.006164121,-0.711678127
11257,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.007884217,1.03884855
11258,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.005332468,-1.596755643
11259,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.016211771,1.530577689
11260,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.011980129,1.390033023
11261,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.013315494,1.255444202
11262,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.004865038,1.067382772
11263,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.044240353,0.963462821
11264,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.916626559,0.041813683
11265,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.056519355,1.103977493
11266,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.33498685,0.446911002
11267,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.284289599,0.970945146
11268,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.176573475,0.609472925
11269,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.039189256,0.847644092
11270,Q9NST1,1-acylglycerol-3-phosphate O-acyltransferase PNPLA3 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.028610476,1.452109624
11271,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.209839947,0.3272713
11272,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.791901409,-0.062242317
11273,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.017145041,-1.034474764
11274,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.018245585,-0.973937357
11275,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.109602395,-0.380779051
11276,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.048542735,0.512069461
11277,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.035699562,-0.677775906
11278,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.47271134,0.127102489
11279,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.087766645,-0.442267936
11280,Q6Q759,Sperm-associated antigen 17 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.654271612,-0.07785022
11281,Q99961,Endophilin-A2 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.003564434,-1.94345115
11282,Q99961,Endophilin-A2 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.004830561,-3.889306422
11283,Q99961,Endophilin-A2 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.004191248,-4.43508581
11284,Q99961,Endophilin-A2 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.005739365,-2.002611533
11285,Q99961,Endophilin-A2 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.007552048,-2.055849679
11286,Q99961,Endophilin-A2 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.005837209,-3.00443994
11287,Q99961,Endophilin-A2 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.005173781,-3.832061325
11288,Q99961,Endophilin-A2 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.005295446,-3.555133441
11289,Q99961,Endophilin-A2 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.056196169,-0.403215012
11290,Q99961,Endophilin-A2 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.005750336,-2.976960841
11291,Q99961,Endophilin-A2 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.00587771,-2.754027627
11292,Q99961,Endophilin-A2 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.006120815,-2.631739783
11293,Q99961,Endophilin-A2 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.005729185,-2.676702161
11294,Q99961,Endophilin-A2 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.005888162,-2.985785829
11295,Q99961,Endophilin-A2 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.005967164,-2.87547798
11296,Q99961,Endophilin-A2 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.00390022,-2.82306712
11297,Q99961,Endophilin-A2 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.005832267,-2.971066383
11298,Q99961,Endophilin-A2 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.005447357,-3.397560767
11299,Q99961,Endophilin-A2 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.056069259,-1.736695928
11300,Q99961,Endophilin-A2 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.005128743,-3.17374718
11301,Q99961,Endophilin-A2 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.005728231,-3.154288085
11302,Q99961,Endophilin-A2 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.005176497,-3.713653457
11303,Q99961,Endophilin-A2 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.00522866,-3.494778124
11304,Q99961,Endophilin-A2 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.3911633,-0.128691837
11305,Q99961,Endophilin-A2 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.005857589,-1.00850843
11306,Q99961,Endophilin-A2 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.005927732,-2.822415267
11307,P49746,Thrombospondin-3 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.00069507,-2.231327351
11308,P49746,Thrombospondin-3 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.000579344,-2.280969453
11309,P49746,Thrombospondin-3 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,3.06E-05,-1.83861178
11310,P49746,Thrombospondin-3 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000154945,-2.345982105
11311,P49746,Thrombospondin-3 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.000593729,-2.040796399
11312,P49746,Thrombospondin-3 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,2.52E-05,0.829596664
11313,P49746,Thrombospondin-3 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000479186,-0.817963796
11314,P49746,Thrombospondin-3 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.017961752,-0.217526481
11315,P49746,Thrombospondin-3 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000810753,-0.567172802
11316,P49746,Thrombospondin-3 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.005364426,-0.514047292
11317,P49746,Thrombospondin-3 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.001889732,-1.021847631
11318,P49746,Thrombospondin-3 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.000437318,-1.004679167
11319,P49746,Thrombospondin-3 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.022004265,-0.216983835
11320,P49746,Thrombospondin-3 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.00018058,-1.415319887
11321,P49746,Thrombospondin-3 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.0032371,-0.70229437
11322,P49746,Thrombospondin-3 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.001014506,-0.708762347
11323,P49746,Thrombospondin-3 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.000182816,-0.821600716
11324,P49746,Thrombospondin-3 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.000352375,-2.646466971
11325,P49746,Thrombospondin-3 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.00056873,-3.226627141
11326,P49746,Thrombospondin-3 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.037290693,0.276168674
11327,P49746,Thrombospondin-3 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.001042138,-0.504206302
11328,P49746,Thrombospondin-3 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000873166,-1.235931427
11329,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.008043746,-0.90137414
11330,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.028798771,-0.961152253
11331,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.000149041,-1.908157223
11332,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000179254,1.069483273
11333,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.7709626,-0.039522551
11334,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.477958923,0.478176307
11335,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.048755689,-0.41160505
11336,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.482924744,-0.324685694
11337,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.092613109,-0.449717534
11338,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.003000124,-1.013150304
11339,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.005679947,-0.724781204
11340,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.786082901,0.048037462
11341,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.502089326,0.158458986
11342,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.017591927,1.230987022
11343,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,3.58E-05,-0.824988807
11344,P00558,Phosphoglycerate kinase 1 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,8.35E-06,-2.031937048
11345,P82094,TATA element modulatory factor [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000931663,-2.985827604
11346,P82094,TATA element modulatory factor [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000167904,-1.826401813
11347,P82094,TATA element modulatory factor [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.001351437,-1.713038365
11348,P82094,TATA element modulatory factor [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.00181055,-2.023769548
11349,P82094,TATA element modulatory factor [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.000291764,-2.678648533
11350,P82094,TATA element modulatory factor [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.08438079,-0.247451745
11351,P82094,TATA element modulatory factor [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.004282927,1.863195625
11352,P82094,TATA element modulatory factor [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.0004515,0.841946605
11353,P82094,TATA element modulatory factor [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.000172145,0.917109002
11354,P82094,TATA element modulatory factor [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000186004,1.750778835
11355,P82094,TATA element modulatory factor [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.002637672,1.060652833
11356,P82094,TATA element modulatory factor [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,9.23E-05,1.658103721
11357,P82094,TATA element modulatory factor [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.012178683,-0.362073272
11358,P82094,TATA element modulatory factor [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000329562,-1.715998127
11359,P82094,TATA element modulatory factor [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.251119476,0.818244694
11360,P82094,TATA element modulatory factor [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.00119296,-1.169789532
11361,P82094,TATA element modulatory factor [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.058122384,0.172416234
11362,P82094,TATA element modulatory factor [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.00028628,-2.002590461
11363,P82094,TATA element modulatory factor [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000483398,-1.294313584
11364,P82094,TATA element modulatory factor [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.00081218,-1.753740164
11365,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.001565113,-4.077777118
11366,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.001769167,-3.415968043
11367,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.001710994,-5.360764734
11368,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.001773729,-4.271172905
11369,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.004965451,-0.762293364
11370,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.007046893,-0.923568541
11371,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.001796296,-0.812597478
11372,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.189701551,0.664581992
11373,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.983228887,0.001623097
11374,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.084790889,-0.200098074
11375,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.189941738,-0.116591152
11376,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.193929343,-0.13567036
11377,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.008056077,-0.455888231
11378,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.01628436,-0.361659793
11379,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.016882839,-0.343023087
11380,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.05739608,-0.918019275
11381,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.002683538,-1.862728717
11382,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.123572493,-0.853873196
11383,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.021583967,-1.123649302
11384,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.001031634,-1.464493113
11385,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.005890908,0.574103263
11386,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.00111962,6.65637265
11387,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.116004102,-0.231896682
11388,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.002774164,-0.64906994
11389,P78371,T-complex protein 1 subunit beta [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.187062804,-0.173030581
11390,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.002255928,0.362834038
11391,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.034498194,0.274127088
11392,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,6.20E-05,1.155580569
11393,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.002358365,1.262176165
11394,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.00068583,0.338660825
11395,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.675848611,0.031449665
11396,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.027376373,0.626554003
11397,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.012322677,0.531078999
11398,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.036583325,0.241262762
11399,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.005499345,0.58010109
11400,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.044621506,0.382753664
11401,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.029290712,-0.154546411
11402,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.04797237,-0.240553009
11403,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.054916403,0.227526623
11404,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.139711996,-0.298629494
11405,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.000614682,-1.023067108
11406,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,2.43E-05,-1.375122737
11407,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.62818908,-0.016508679
11408,Q9C0I9,Leucine-rich repeat-containing protein 27 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.048267635,-0.124120908
11409,Q8TF72,Protein Shroom3 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.002487849,-1.412301505
11410,Q8TF72,Protein Shroom3 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000823575,1.714970192
11411,Q8TF72,Protein Shroom3 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,9.21E-05,1.116822718
11412,Q8TF72,Protein Shroom3 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.00728898,1.145411785
11413,Q8TF72,Protein Shroom3 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.001653032,1.083351702
11414,Q8TF72,Protein Shroom3 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.002618558,0.619141293
11415,Q8TF72,Protein Shroom3 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.001485193,1.736475855
11416,Q8TF72,Protein Shroom3 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.005021452,-0.704286638
11417,Q8TF72,Protein Shroom3 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.074903129,0.209426291
11418,Q8TF72,Protein Shroom3 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.005429427,-0.746886801
11419,Q8TF72,Protein Shroom3 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.373040823,-0.104733252
11420,P50238,Cysteine-rich protein 1 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.04251416,-0.352839516
11421,P50238,Cysteine-rich protein 1 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.001986478,-1.262072025
